date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Eleanor,Bodhi,Mary,Erin
09-10-55,71,74,78,0,78,77,84,0,0,0,0
09-11-05,70,74,78,0,78,78,84,0,67,0,0
09-12-05,0,73,78,0,78,78,85,0,75,51,0
09-13-05,0,35,38,0,35,35,45,0,0,53,0
09-14-05,0,68,62,0,36,52,44,0,0,58,0
09-15-05,0,65,58,0,44,43,47,0,0,60,0
09-16-05,0,51,50,0,62,60,60,0,0,54,0
09-17-05,0,51,49,0,62,60,60,0,0,55,0
09-18-05,0,52,53,0,62,58,60,0,0,53,0
09-19-05,0,36,51,0,61,44,58,0,0,41,0
09-20-05,0,40,47,0,57,49,56,0,0,43,0
09-21-05,0,35,40,0,35,35,35,0,0,36,0
